,date-time,year,month,day,hour,NH3_Vredepeel,NH3_Zegveld,NH3_Wekerom
0,2023-01-01 0:00:00,2023,1,1,0,4.21,3.91,3.52
1,2023-01-01 1:00:00,2023,1,1,1,4.51,4.11,3.78
2,2023-01-01 2:00:00,2023,1,1,2,4.47,3.91,3.44
3,2023-01-01 3:00:00,2023,1,1,3,4.25,3.66,3.46
4,2023-01-01 4:00:00,2023,1,1,4,4.24,3.16,3.47
5,2023-01-01 5:00:00,2023,1,1,5,4.34,1.83,4.14
6,2023-01-01 6:00:00,2023,1,1,6,4.15,1.92,4.93
7,2023-01-01 7:00:00,2023,1,1,7,4.61,1.62,4.46
8,2023-01-01 8:00:00,2023,1,1,8,3.79,1.64,3.52
9,2023-01-01 9:00:00,2023,1,1,9,7.88,3.12,4.70
10,2023-01-01 10:00:00,2023,1,1,10,8.53,2.73,4.11
11,2023-01-01 11:00:00,2023,1,1,11,6.77,3.19,3.87
12,2023-01-01 12:00:00,2023,1,1,12,7.45,3.57,3.82
13,2023-01-01 13:00:00,2023,1,1,13,6.10,3.21,4.18
14,2023-01-01 14:00:00,2023,1,1,14,6.51,3.42,5.54
15,2023-01-01 15:00:00,2023,1,1,15,6.90,6.75,4.86
16,2023-01-01 16:00:00,2023,1,1,16,6.43,4.17,5.86
17,2023-01-01 17:00:00,2023,1,1,17,9.38,5.43,6.35
18,2023-01-01 18:00:00,2023,1,1,18,6.22,4.90,5.99
19,2023-01-01 19:00:00,2023,1,1,19,4.69,2.92,9.12
20,2023-01-01 20:00:00,2023,1,1,20,5.33,2.54,6.23
21,2023-01-01 21:00:00,2023,1,1,21,5.98,1.56,4.93
22,2023-01-01 22:00:00,2023,1,1,22,7.31,2.44,3.70
23,2023-01-01 23:00:00,2023,1,1,23,6.24,2.87,3.65
24,2023-01-02 0:00:00,2023,1,2,0,7.44,5.43,4.01
25,2023-01-02 1:00:00,2023,1,2,1,7.79,5.84,4.42
26,2023-01-02 2:00:00,2023,1,2,2,8.07,5.19,4.62
27,2023-01-02 3:00:00,2023,1,2,3,4.86,4.65,4.05
28,2023-01-02 4:00:00,2023,1,2,4,4.47,6.05,3.90
29,2023-01-02 5:00:00,2023,1,2,5,4.32,4.14,3.91
30,2023-01-02 6:00:00,2023,1,2,6,4.51,0.60,3.62
31,2023-01-02 7:00:00,2023,1,2,7,4.26,0.93,3.16
32,2023-01-02 8:00:00,2023,1,2,8,3.16,0.43,2.91
33,2023-01-02 9:00:00,2023,1,2,9,6.84,0.52,2.97
34,2023-01-02 10:00:00,2023,1,2,10,7.53,0.87,3.03
35,2023-01-02 11:00:00,2023,1,2,11,4.30,1.22,3.09
36,2023-01-02 12:00:00,2023,1,2,12,3.24,1.18,3.15
37,2023-01-02 13:00:00,2023,1,2,13,2.94,0.96,3.21
38,2023-01-02 14:00:00,2023,1,2,14,3.44,0.84,3.27
39,2023-01-02 15:00:00,2023,1,2,15,5.50,0.47,3.32
40,2023-01-02 16:00:00,2023,1,2,16,5.29,0.79,3.38
41,2023-01-02 17:00:00,2023,1,2,17,4.45,0.89,3.44
42,2023-01-02 18:00:00,2023,1,2,18,3.20,1.97,3.50
43,2023-01-02 19:00:00,2023,1,2,19,2.83,1.93,3.56
44,2023-01-02 20:00:00,2023,1,2,20,3.21,2.15,3.62
45,2023-01-02 21:00:00,2023,1,2,21,2.85,2.34,3.68
46,2023-01-02 22:00:00,2023,1,2,22,4.32,2.39,3.74
47,2023-01-02 23:00:00,2023,1,2,23,6.54,3.23,3.80
48,2023-01-03 0:00:00,2023,1,3,0,4.91,4.72,3.86
