Export;EXP-2023-001 (20231211 15:27);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;20231101 01:00;20231101 02:00;5.52;6.47;1.87;4.67;2.43;7.22;13.55;7.08;7.14;8.73;7.17;11.53;6.51;8.34;8.64;3.28;11.81;12.07;9.13;10.43;8.29;12.51;12.82;17.16;13.43;10.36;12.17;5.79;;11.91;16.36;13.75;;11.69;5.93;8.59;7.25;6.5;6.73;7.47;6.89;9.26;5.85;10.66;6.3
NO2;uur;µg/m³;20231101 02:00;20231101 03:00;2.6;5.6;1.33;5.38;1.68;6.36;11.09;6.88;5.57;8.56;6.32;9.56;5.29;9.87;7.89;7.32;11.02;10.04;8.37;8.14;8.76;12.39;20.52;15.5;14.24;6.96;7.97;8.46;;11.99;15.5;14.1;;8.63;6.97;6.64;6.95;6.78;7.69;6.32;5.63;6.78;5.51;8.16;6.53
NO2;uur;µg/m³;20231101 03:00;20231101 04:00;1.87;3.82;1.13;3;1.99;5.07;13.44;5.19;3.25;8.44;5.27;5.08;2.76;7.34;7.64;4.24;17.44;12.39;9.41;5.83;12.36;16.58;13.15;21.03;17.48;14.57;11.95;7.03;;8.14;11.43;10.99;;7.15;6.45;6;6.22;6.05;6.81;7.05;5.18;6.15;5.63;9.59;6.16
NO2;uur;µg/m³;20231101 04:00;20231101 05:00;2.05;3.36;1.2;1.97;2.12;3.89;11.36;3.6;3.3;6.92;4.68;6.01;2.47;4.63;6.92;3.04;17.3;9.4;6.62;5.61;11.67;15.41;15.65;21;17.18;13.13;10.03;5.8;;6.14;8.56;8.92;;6.27;5.41;6.86;4.21;4.08;6.08;5.21;7.4;5.6;5.45;8.73;5.45
NO2;uur;µg/m³;20231101 05:00;20231101 06:00;3.49;3.58;1.78;2.36;3.4;4.12;7.9;5.36;5.54;7.28;6.41;4.28;3.08;4.22;4.61;1.83;20.84;15.1;12.22;10.05;11.34;19.22;17.81;20.06;28.59;11.63;11.63;4.98;;5.48;10.63;11.78;;6.48;5.6;6.14;4.1;3.69;5.43;4.96;7.35;5.56;5.21;8.21;5.81
NO2;uur;µg/m³;20231101 06:00;20231101 07:00;4.34;3.33;2.08;6.18;3.92;4.09;11.92;7.8;11.89;13.95;6.92;4.16;4.54;4.27;4.16;1.66;14.32;23.82;7.1;12.4;12.84;17.35;10.37;20.66;30.69;11.9;15.13;5.15;;13.24;21.82;27.5;;7.33;6.87;5.26;7.73;6.27;5.05;7.04;5.77;6;5.33;11.64;8.71
NO2;uur;µg/m³;20231101 07:00;20231101 08:00;4.96;6.03;3.34;7.49;4.11;4.26;11.84;9.74;23.12;20.62;10.69;11.8;7.95;5.15;4.71;1.77;18.31;15.3;6.94;10.79;14.75;20.62;12.77;25.05;31.05;14.3;18.8;8.37;;20.87;30.09;25.56;;8.24;5.14;7.91;11.07;7.97;4.75;6.71;5.5;6.12;5.35;32.2;10.45
NO2;uur;µg/m³;20231101 08:00;20231101 09:00;3.92;8.17;3.39;9.26;4.65;4.37;10.67;11.32;19.85;24.57;10.52;10.48;7.48;9.07;9.28;3.52;15.31;12.32;7.82;11.88;13.05;19.04;18.7;20.73;26.9;18.46;21.26;11.19;;22.72;25.84;22.4;;7.54;4.5;7.72;12.18;9.2;6.71;7.33;6.34;7.94;6.01;22.35;8.39
NO2;uur;µg/m³;20231101 09:00;20231101 10:00;3.64;6.13;2.01;7.18;3.63;3.72;10.34;7.53;13.69;20.83;9.78;7.18;5.32;10.16;8.35;3.81;19.57;13;8.99;8.52;15.02;22.27;11.7;20.45;26.55;19.93;18.98;8.41;;17.01;19.78;23.34;;6.79;4.59;6.7;11.73;10.66;7.05;6.6;8.11;9.22;5.29;18.09;6.81
NO2;uur;µg/m³;20231101 10:00;20231101 11:00;2.84;5.69;1.84;6.2;3.07;3.57;11.36;7.76;8.91;17.03;8.26;4.46;3.97;7.26;5.01;3.88;16.92;16.91;8.03;6.21;11.13;17.39;11.51;20.6;22.4;18.46;15.48;6.25;;14.56;18.29;14.53;;6.02;5.82;5.56;11.04;8.14;5.85;4.87;9.29;6.97;4.98;20.47;9.47
