date-time;year;month;day;hour;Rg;Ta;RH;u;P;smc_065;smc_125;smc_250;smc_500
2016-01-01 00:00:00;2016;1;1;0;-1.173;5.897;83.307;4.838;0.0;0.662;0.694;0.691;0.74
2016-01-01 01:00:00;2016;1;1;1;-1.371;6.275;82.537;4.653;0.0;0.663;0.694;0.691;0.739
2016-01-01 02:00:00;2016;1;1;2;-1.832;6.313;82.377;3.788;0.0;0.662;0.694;0.691;0.739
2016-01-01 03:00:00;2016;1;1;3;-2.268;4.664;87.04;1.754;0.0;0.662;0.694;0.691;0.739
2016-01-01 04:00:00;2016;1;1;4;-2.154;3.682;90.915;2.623;0.0;0.663;0.694;0.691;0.738
2016-01-01 05:00:00;2016;1;1;5;-2.153;3.254;92.612;2.417;0.0;0.662;0.694;0.691;0.738
2016-01-01 06:00:00;2016;1;1;6;-2.234;3.016;92.465;1.828;0.0;0.662;0.694;0.691;0.738
2016-01-01 07:00:00;2016;1;1;7;0.851;2.953;93.72;1.18;0.0;0.661;0.694;0.691;0.738
2016-01-01 08:00:00;2016;1;1;8;27.681;2.587;93.228;2.496;0.0;0.661;0.694;0.691;0.737
2016-01-01 09:00:00;2016;1;1;9;36.158;3.417;95.575;2.138;0.0;0.661;0.693;0.691;0.737
2016-01-01 10:00:00;2016;1;1;10;88.029;3.935;95.16;1.779;0.0;0.661;0.693;0.692;0.737
2016-01-01 11:00:00;2016;1;1;11;100.634;4.33;94.673;0.835;0.0;0.662;0.692;0.692;0.737
2016-01-01 12:00:00;2016;1;1;12;70.309;4.498;94.643;1.918;0.0;0.662;0.692;0.692;0.737
2016-01-01 13:00:00;2016;1;1;13;50.22;4.337;94.87;2.937;0.0;0.662;0.692;0.691;0.737
2016-01-01 14:00:00;2016;1;1;14;18.069;4.197;95.222;3.539;0.0;0.662;0.692;0.691;0.738
2016-01-01 15:00:00;2016;1;1;15;2.132;4.209;95.41;3.693;0.0;0.662;0.693;0.691;0.737
2016-01-01 16:00:00;2016;1;1;16;-1.506;4.651;95.292;3.433;0.0;0.662;0.693;0.69;0.738
2016-01-01 17:00:00;2016;1;1;17;-1.71;4.944;94.673;3.652;0.0;0.662;0.693;0.69;0.737
2016-01-01 18:00:00;2016;1;1;18;-2.017;5.114;93.613;4.923;0.0;0.662;0.693;0.69;0.737
2016-01-01 19:00:00;2016;1;1;19;-2.03;5.076;91.762;4.882;0.0;0.662;0.693;0.69;0.737
2016-01-01 20:00:00;2016;1;1;20;-1.939;4.694;91.01;3.54;0.0;0.662;0.693;0.69;0.737
2016-01-01 21:00:00;2016;1;1;21;-1.861;4.594;90.172;3.855;0.0;0.662;0.693;0.69;0.737
2016-01-01 22:00:00;2016;1;1;22;-2.087;4.394;89.482;4.333;0.0;0.662;0.693;0.69;0.737
2016-01-01 23:00:00;2016;1;1;23;-1.619;4.526;88.367;5.149;0.0;0.662;0.693;0.69;0.737
2016-01-02 00:00:00;2016;1;2;0;-1.505;4.53;87.132;5.09;0.0;0.662;0.693;0.69;0.737
2016-01-02 01:00:00;2016;1;2;1;-1.391;4.523;86.422;5.258;0.0;0.662;0.692;0.691;0.737
2016-01-02 02:00:00;2016;1;2;2;-1.238;4.583;84.855;5.708;0.0;0.661;0.692;0.691;0.737
2016-01-02 03:00:00;2016;1;2;3;-1.266;4.476;84.273;5.422;0.0;0.661;0.692;0.691;0.737
2016-01-02 04:00:00;2016;1;2;4;-1.437;4.403;82.737;5.761;0.0;0.661;0.692;0.691;0.737
2016-01-02 05:00:00;2016;1;2;5;-1.225;4.344;82.598;5.47;0.0;0.661;0.691;0.691;0.737
2016-01-02 06:00:00;2016;1;2;6;-1.547;4.642;82.716;5.31;0.2;0.661;0.691;0.691;0.737
2016-01-02 07:00:00;2016;1;2;7;-1.276;4.327;85.853;5.128;0.8;0.662;0.691;0.691;0.737
2016-01-02 08:00:00;2016;1;2;8;5.943;4.337;87.307;5.16;1.0;0.663;0.691;0.691;0.737
2016-01-02 09:00:00;2016;1;2;9;32.842;4.469;89.135;5.815;0.6;0.668;0.691;0.691;0.738
2016-01-02 10:00:00;2016;1;2;10;41.651;4.76;90.292;5.645;0.2;0.673;0.691;0.69;0.741
2016-01-02 11:00:00;2016;1;2;11;26.622;4.856;90.29;5.187;0.2;0.676;0.691;0.69;0.741
2016-01-02 12:00:00;2016;1;2;12;36.149;4.839;92.362;5.441;0.6;0.678;0.691;0.69;0.742
2016-01-02 13:00:00;2016;1;2;13;65.198;5.089;91.773;5.242;0.0;0.685;0.691;0.691;0.746
2016-01-02 14:00:00;2016;1;2;14;54.456;5.303;90.11;5.104;0.0;0.684;0.691;0.691;0.745
2016-01-02 15:00:00;2016;1;2;15;7.843;5.299;89.657;4.792;0.0;0.684;0.692;0.691;0.745
2016-01-02 16:00:00;2016;1;2;16;-1.167;5.16;89.447;5.629;0.0;0.681;0.691;0.691;0.743
2016-01-02 17:00:00;2016;1;2;17;-1.03;5.1;88.97;5.62;0.0;0.68;0.691;0.691;0.743
2016-01-02 18:00:00;2016;1;2;18;-1.071;5.034;88.385;5.858;0.0;0.678;0.691;0.691;0.742
2016-01-02 19:00:00;2016;1;2;19;-1.085;5.09;87.747;5.904;0.0;0.677;0.691;0.69;0.742
