date-time;year;month;day;hour;Rg;Ta;RH;u;P;smc_065;smc_125;smc_250;smc_500
2013-01-01 00:00:00;2013;1;1;0;-2.271;8.365;91.302;8.126;0.0;0.712;0.689;0.691;0.741
2013-01-01 01:00:00;2013;1;1;1;-2.182;8.269;91.625;7.356;0.0;0.712;0.69;0.691;0.741
2013-01-01 02:00:00;2013;1;1;2;-2.094;8.354;92.01;6.58;0.0;0.713;0.69;0.691;0.74
2013-01-01 03:00:00;2013;1;1;3;-2.012;8.138;92.665;6.859;0.0;0.713;0.689;0.691;0.74
2013-01-01 04:00:00;2013;1;1;4;-1.992;8.179;92.972;6.441;0.0;0.713;0.689;0.691;0.74
2013-01-01 05:00:00;2013;1;1;5;-2.079;8.195;93.388;6.509;0.0;0.713;0.689;0.691;0.74
2013-01-01 06:00:00;2013;1;1;6;-2.37;8.287;92.575;6.279;0.0;0.712;0.69;0.691;0.74
2013-01-01 07:00:00;2013;1;1;7;-2.058;8.318;91.773;5.909;0.0;0.712;0.69;0.691;0.741
2013-01-01 08:00:00;2013;1;1;8;7.365;7.902;92.65;3.621;0.0;0.713;0.689;0.691;0.74
2013-01-01 09:00:00;2013;1;1;9;23.464;7.9;93.882;2.451;0.0;0.712;0.69;0.691;0.74
2013-01-01 10:00:00;2013;1;1;10;22.849;7.08;90.535;5.728;0.0;0.712;0.689;0.691;0.741
2013-01-01 11:00:00;2013;1;1;11;55.835;6.588;88.645;3.794;0.0;0.712;0.689;0.691;0.741
2013-01-01 12:00:00;2013;1;1;12;69.047;6.831;87.532;3.559;0.0;0.712;0.69;0.691;0.741
2013-01-01 13:00:00;2013;1;1;13;105.086;7.013;80.261;4.843;0.0;0.713;0.689;0.692;0.74
2013-01-01 14:00:00;2013;1;1;14;107.791;6.973;74.326;5.309;0.01;0.713;0.69;0.691;0.741
2013-01-01 15:00:00;2013;1;1;15;6.81;5.851;75.787;4.533;0.0;0.712;0.69;0.691;0.741
2013-01-01 16:00:00;2013;1;1;16;-3.984;4.537;82.196;3.089;0.0;0.712;0.689;0.692;0.741
2013-01-01 17:00:00;2013;1;1;17;-3.724;4.364;82.668;3.783;0.0;0.712;0.689;0.692;0.741
2013-01-01 18:00:00;2013;1;1;18;-3.726;4.535;82.963;3.795;0.0;0.712;0.689;0.691;0.741
2013-01-01 19:00:00;2013;1;1;19;-4.11;4.033;86.8;3.336;0.0;0.712;0.689;0.691;0.741
2013-01-01 20:00:00;2013;1;1;20;-3.994;3.677;86.817;3.398;0.01;0.711;0.689;0.69;0.741
2013-01-01 21:00:00;2013;1;1;21;-3.472;4.423;87.072;3.545;0.0;0.711;0.689;0.69;0.741
2013-01-01 22:00:00;2013;1;1;22;-3.451;4.147;88.837;3.249;0.0;0.711;0.689;0.69;0.74
2013-01-01 23:00:00;2013;1;1;23;-3.545;4.827;86.795;4.161;0.0;0.711;0.688;0.69;0.741
2013-01-02 00:00:00;2013;1;2;0;-3.858;5.001;86.658;4.009;0.0;0.71;0.688;0.689;0.741
2013-01-02 01:00:00;2013;1;2;1;-3.694;4.82;87.505;4.015;0.0;0.711;0.688;0.689;0.741
2013-01-02 02:00:00;2013;1;2;2;-4.136;4.385;88.46;3.828;0.01;0.71;0.688;0.689;0.741
2013-01-02 03:00:00;2013;1;2;3;-4.239;3.97;90.535;2.877;0.0;0.71;0.688;0.689;0.741
2013-01-02 04:00:00;2013;1;2;4;-3.921;4.283;91.457;3.857;0.0;0.71;0.688;0.688;0.741
2013-01-02 05:00:00;2013;1;2;5;-4.003;4.262;90.675;4.01;0.0;0.711;0.687;0.689;0.741
2013-01-02 06:00:00;2013;1;2;6;-4.123;3.578;92.01;3.539;0.0;0.711;0.687;0.689;0.741
2013-01-02 07:00:00;2013;1;2;7;-1.513;3.636;92.192;3.995;0.0;0.711;0.687;0.689;0.742
2013-01-02 08:00:00;2013;1;2;8;34.795;3.721;92.893;3.67;0.0;0.71;0.687;0.689;0.742
2013-01-02 09:00:00;2013;1;2;9;112.395;4.798;91.023;3.325;0.0;0.71;0.686;0.689;0.742
2013-01-02 10:00:00;2013;1;2;10;209.17;6.644;85.962;3.895;0.0;0.71;0.686;0.689;0.742
2013-01-02 11:00:00;2013;1;2;11;198.791;7.493;83.728;3.948;0.0;0.71;0.686;0.689;0.742
2013-01-02 12:00:00;2013;1;2;12;167.335;7.713;81.565;4.197;0.0;0.711;0.686;0.689;0.742
2013-01-02 13:00:00;2013;1;2;13;131.226;7.808;81.575;3.94;0.0;0.711;0.686;0.689;0.742
2013-01-02 14:00:00;2013;1;2;14;65.533;7.611;81.361;4.9;0.0;0.711;0.686;0.689;0.742
